,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M4_20160608_scaffold_287_15,0,0,0,0,0,0,0,0,8.38E-05,0,0,0,0,0,0,0,0,4.31E-05,0,0,0,0,0,0,0,0,0,5.43E-05
M5_20151222_scaffold_23_9,0.00095511,0,0,0,0,0,0,0,0.000964037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20151222_scaffold_4659_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010026029,0.007533206,0.009610686,0.001536623,0.001380203,0.000665842,0.000324856,0.011029412,0.002263046,0.00012089,0,0,0,0,0
M5_20160217_scaffold_11071_3,0.001432665,0,0.003988397,0,0,0,0,0,0,0.000727658,0,0,0.000448699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_1259_16,0,0,0,0,0,0,0,0,0.000754464,0,0,0,0,0,0,0,0,0,0,0.000649712,0,0,0,0,0,0,0,0
M5_20160217_scaffold_12_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_1927_7,0.000716332,0,0,0,0,0,0,0,0,0,0,0,0,0.000578425,0,0,0,0,0.000332921,0.000185632,0,0,0,0,0,0,0,0
M5_20160217_scaffold_555_9,0.000477555,0,0,0,0,0,0,0,8.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_7956_1,0,0,0,0,0,0,0,0,0.003856149,0,0,0,0,0,0,0,8.54E-05,0.000129394,0.000332921,4.64E-05,0,6.66E-05,6.04E-05,0,4.40E-05,0,0.000161473,0
M5_20160217_scaffold_8365_3,0.010028653,0.156049496,0,0,0.14626438,0.173009898,0.192714319,0,0.021963283,0,0,0,0,0.001349658,0.010639001,0.003583646,0,0.012464956,0.015980215,0.014896974,0,0.060170394,0.06957205,0.070432159,0.084892783,0.109375,0.086953011,0.075282241
M5_20160217_scaffold_855_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160303_scaffold_416_14,0.010028653,0.241292392,0,0,0.260376722,0.239788094,0.28694553,0,0.030052812,0,0,0,0,0.000867637,0.009449547,0.00439811,0.007000171,0.021824455,0.024778845,0.025292371,0.000124626,0.026291267,0.035360251,0.04031202,0.051252697,0.074230623,0.04755369,0.045429874
M5_20160406_scaffold_1287_9,0,0,0,0,0,0,0,0,0.00062872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160406_scaffold_2203_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160406_scaffold_8_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160713_scaffold_30_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_1015_17,0.015520535,0.000343721,0.008701958,0,0.001053474,0.000139412,0,0.001737482,8.38E-05,0,0,0,0.000149566,0,0,0,0,0,0,0,0,0.00013312,0,0,0,0,0,0
U3_Day001_scaffold_11732_3,0.062798472,0,0.011240029,0,0.003623952,0,0,0.003238035,8.38E-05,0.001852219,0.000137703,7.45E-05,0.000299133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_13936_3,0.024832856,0.005843263,0,0,0.000210695,0,0,0,0.001005952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_14050_1,0.006924546,0,0.001087745,0,0,0,0,0,0,6.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_18517_1,0.005014327,0,0,0,0,0,0,0.00244827,8.38E-05,0.000264603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_19959_2,0.004297994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_22210_1,0.043935053,0,0.014865845,0.000837989,0.002022671,0,0,0.000315906,0,0.000793808,0,0,0.000299133,0,0,0,0,0,0,0,0.002991027,0.000266241,0,0,0,0,0,0
U3_Day001_scaffold_22593_4,0.003581662,0,0,0,0,0,0,7.90E-05,0.000377232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_22743_1,0.020773639,0,0.006526468,0,0,0,0,0.002764176,0,0.000264603,0,0,0.000149566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_244_9,0.017669532,0.000229148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6250_4,0.006685769,0,0.005438724,0,0.001685559,0,0,0,8.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6950_7,0.006446991,0.000229148,0,0,0,0,0,0.000789765,0,0.000132301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6_8,0.132043935,0.002749771,0.005076142,0,0,0,0,0,4.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day009_scaffold_1067_7,0.053724928,0.014894592,0,0,4.21E-05,0,0,0,0.007251236,0,0,0,0,0,0,0,0,8.63E-05,0,0,0,0,0,0,0,0,0,0
U3_Day009_scaffold_129_19,0,0.009738772,0,0,0,0,0,0,4.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003074646,0.000924662,0,0.000807363,0
U3_Day009_scaffold_5003_4,0.01599809,0.006759853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_135_9,0,0,0.047135606,0.012290503,0.008512073,0,0.000344748,0.001816459,0.000293403,0.000529206,0,7.45E-05,0,0,0,0,0,0,0,0,0.000124626,0,0,0,0,0,0,0
U3_Day017_scaffold_15186_1,0.004297994,0,0.030819434,0.002793296,0,0,0,0.002369294,8.38E-05,0.000463055,0,0.000596214,0,0,0,0,0,0,0,0,0,0.000266241,0,0,0,0,0,0
U3_Day017_scaffold_2065_4,0.00286533,0,0.037708484,0,0.011588218,0,0,0.000315906,0.000419147,0.000264603,0.000275406,0.000149054,0.000149566,0,0,0,0,0,0,0,0.000498504,0,0,0,0,0,0,0
U3_Day017_scaffold_22168_1,0.000238777,0,0.026468455,0,0,0,0,0,0,0.000198452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_223_25,0.000238777,0,0.069253082,0.003351955,0.001938393,0,0,0,0,0.000264603,0,0,0.000149566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2347_4,0,0,0.02284264,0,0,0,0,0.001579529,0,0.005821261,0.002891765,0.001639589,0.007328747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2654_8,0,0,0.026105874,0,0,0,0,0.005528353,0.000251488,0.000595356,0.000481961,7.45E-05,0.000299133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2826_7,0.051575931,0,0.06200145,0.012011173,0.005983734,0.000139412,0,0,0.000335317,0.021763577,6.89E-05,0,0.002841759,0,0,0,0,0,9.51E-05,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_30861_2,0,0,0.010514866,0,0,0,0,0.000631812,0.000838293,0.009988754,0.005576976,0.007080042,0.010918337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_32652_2,0,0,0.005438724,0,0,0,0,0.003001106,0,0.032215387,0.020999725,0.041734983,0.027669758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_3732_7,0,0,0.124002901,0,0,0,0,0.000868741,8.38E-05,0,6.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_474_7,0.007640879,0,0.024292966,0.005586592,8.43E-05,0,0,0.002843153,0.000125744,0.000727658,6.89E-05,0,0.000299133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_522_13,0.002387775,0,0.031907179,0.004189944,4.21E-05,0,0,0.003395988,8.38E-05,0.000463055,0.000413109,0,0.000149566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_540_14,0.001432665,0,0.0413343,0,0,0,0,0.001026694,0,0.000132301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_6722_1,0.026265521,0.000114574,0.023205221,0.001117318,4.21E-05,0,0,0.002053388,0,0.000396904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_6880_6,0,0,0.026831037,0,0,0,0,0.001026694,0.000670635,0.039624264,0.020311209,0.018557162,0.036344601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_868_2,0,0,0.076867295,0.002234637,0.005056677,0,0,0,0,0.000132301,0,0,0,0,0,0,0,0,0,0,0,0.00013312,0,0,0,0,0,0
U3_Day023_scaffold_107_8,0,0,0,0.951396648,0.008933463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day059_scaffold_2087_3,0.00286533,0,0.005438724,0,0.014664363,0,0.000804413,0.000473859,4.19E-05,6.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day087_scaffold_77_4,0.005014327,0.068629698,0,0,0.088702541,0.064826432,0.079407033,0,0.009305055,0,0,0,0,0.000385617,0.000396485,0.001791823,0.006829435,0.006728488,0.006991344,0.007703731,0,0.001730564,0.002659574,0.002448329,0.003346396,0.006886398,0.003633134,0.007978723
U3_Input2FT_scaffold_1127_7,0,0,0.002175489,0,0,0,0,0.01026694,8.38E-05,0.000330753,0.009708069,0.003875391,0.000897398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_1130_6,0,0,0,0,0,0,0,0.027878692,8.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_117379_4,0,0,0,0,0,0,0,0.002843153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2FT_scaffold_11793_6,0,0,0,0,0,0,0,0.009793082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
