,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Day009_scaffold_1067_7,225,130,0,0,1,0,0,0,173,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
U3_Day009_scaffold_129_19,0,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,21,0,10,0
U3_Day009_scaffold_5003_4,67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_135_9,0,0,130,44,202,0,3,23,7,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
U3_Day017_scaffold_15186_1,18,0,85,10,0,0,0,30,2,7,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
U3_Day017_scaffold_2065_4,12,0,104,0,275,0,0,4,10,4,4,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
U3_Day017_scaffold_22168_1,1,0,73,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_223_25,1,0,191,12,46,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2347_4,0,0,63,0,0,0,0,20,0,88,42,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2654_8,0,0,72,0,0,0,0,70,6,9,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_2826_7,216,0,171,43,142,1,0,0,8,329,1,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
U3_Day017_scaffold_30861_2,0,0,29,0,0,0,0,8,20,151,81,95,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
