,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M4_20160406_scaffold_4157_5,0,0,0,0,0,0.03483533,0,0,0.116851476,0,0,0,0,0,0,0,0,0.020430145,0.040524593,0.067024481,0,0.053329328,0.06885238,0.022531176,0,0.023162514,0.032658973,0.071966433
M4_20160406_scaffold_4788_3,0,0,0.686947227,0,0,0,0,0,0,0.027891811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160608_scaffold_15_12,0,0,0,0,0,0,0,0,0.41871779,0,0,0,0,0,0,0.035596908,4.543381236,2.370545356,0.843619111,0.137240604,0,0,0,0,0,0,0,0
M4_20160608_scaffold_198_16,0,2.922938262,0,0,0,0,0,0,0.077540331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166196984,0.468316222,0.02305528,0.162538868,0
M4_20160608_scaffold_287_15,0,0,0,0,0,0,0,0,0.019566252,0,0,0,0,0,0,0,0,0.020525613,0,0,0,0,0,0,0,0,0,0.024100908
M5_20151222_scaffold_23_9,0.325577908,0,0,0,0,0,0,0,0.211195376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20151222_scaffold_4659_2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.900040203,2.847644927,3.150326333,0.528755575,0.669330453,0.290426251,0.160114038,4.347771495,0.928184264,0.046994482,0,0,0,0,0
M5_20160217_scaffold_11071_3,0.513122785,0,1.149132919,0,0,0,0,0,0,0.373261844,0,0,0.224114801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_1259_16,0,0,0,0,0,0,0,0,0.161736485,0,0,0,0,0,0,0,0,0,0,0.288617579,0,0,0,0,0,0,0,0
M5_20160217_scaffold_12_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_1927_7,0.261379447,0,0,0,0,0,0,0,0,0,0,0,0,0.221833273,0,0,0,0,0.14316787,0.090205092,0,0,0,0,0,0,0,0
M5_20160217_scaffold_555_9,0.162078085,0,0,0,0,0,0,0,0.01828462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_7956_1,0,0,0,0,0,0,0,0,0.895861318,0,0,0,0,0,0,0,0.028692163,0.061290434,0.141836076,0.022341494,0,0.026664664,0.022950793,0,0.023524722,0,0.065317945,0
M5_20160217_scaffold_8365_3,3.625272144,50.62732135,0,0,108.5675176,43.23064426,56.32595501,0,5.102514462,0,0,0,0,0.512795984,3.928146674,1.147379397,0,5.904311804,6.808131657,7.171619473,0,24.10485646,26.41636311,27.8710648,45.35566377,53.34327044,35.1737135,33.27248089
M5_20160217_scaffold_855_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160303_scaffold_416_14,3.625272144,78.28277443,0,0,193.2695739,59.91676722,83.86756688,0,6.981875704,0,0,0,0,0.329654561,3.488974996,1.408147442,2.352757364,10.33765319,10.55665653,12.17611406,0.047984865,10.53254237,13.42621409,15.95207266,27.38277626,36.20300986,19.23613487,20.07863483
M5_20160406_scaffold_1287_9,0,0,0,0,0,0,0,0,0.145388121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160406_scaffold_2203_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160406_scaffold_8_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160713_scaffold_30_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_1015_17,6.815062983,0.135454766,3.073797761,0,0.949840091,0.042314101,0,0.394668604,0.023656372,0,0,0,0.091587405,0,0,0,0,0,0,0,0,0.064778563,0,0,0,0,0,0
U3_Day001_scaffold_11732_3,17.00605719,0,2.448595865,0,2.015117193,0,0,0.453612616,0.01458947,0.718384214,0.045253481,0.034471708,0.112968436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_13936_3,10.78226725,2.277002185,0,0,0.18784547,0,0,0,0.280704664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_14050_1,2.457444208,0,0.310537788,0,0,0,0,0,0,0.033623005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_18517_1,1.795929749,0,0,0,0,0,0,0.453612616,0.019295751,0.13573158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_19959_2,1.403541737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_22210_1,14.28728492,0,3.888868611,0.145050619,1.350601073,0,0,0.053142901,0,0.369712378,0,0,0.135656658,0,0,0,0,0,0,0,1.035991222,0.095948164,0,0,0,0,0,0
U3_Day001_scaffold_22593_4,2.17475868,0,0,0,0,0,0,0.02480694,0.147205473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_22743_1,9.386865374,0,2.37236426,0,0,0,0,0.646134249,0,0.171242749,0,0,0.094249829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_244_9,6.023191293,0.070103782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6250_4,1.823236283,0,1.193118868,0,0.943841101,0,0,0,0.014691852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6950_7,2.830872316,0.090303177,0,0,0,0,0,0.17939482,0,0.083202691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6_8,38.15071089,0.713025832,1.179812709,0,0,0,0,0,0.007782859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
